Label,Section Name,Section Number,Question Number,Column,Type of Variable,SAS Variable Name,Question Prologue,Question,var_info
State FIPS Code,Record Identification,0,1,1-2,Num,_STATE,,State FIPS Code,"{'Value': ['1', '2', '4', '5', '6', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '19', '20', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '44', '45', '46', '47', '48', '49', '50', '51', '53', '54', '55', '56', '66', '72', '78'], 'Value Label': ['Alabama', 'Alaska', 'Arizona', 'Arkansas', 'California', 'Colorado', 'Connecticut', 'Delaware', 'District of Columbia', 'Florida', 'Georgia', 'Hawaii', 'Idaho', 'Illinois', 'Indiana', 'Iowa', 'Kansas', 'Louisiana', 'Maine', 'Maryland', 'Massachusetts', 'Michigan', 'Minnesota', 'Mississippi', 'Missouri', 'Montana', 'Nebraska', 'Nevada', 'New Hampshire', 'New Jersey', 'New Mexico', 'New York', 'North Carolina', 'North Dakota', 'Ohio', 'Oklahoma', 'Oregon', 'Rhode Island', 'South Carolina', 'South Dakota', 'Tennessee', 'Texas', 'Utah', 'Vermont', 'Virginia', 'Washington', 'West Virginia', 'Wisconsin', 'Wyoming', 'Guam', 'Puerto Rico', 'Virgin Islands'], 'Frequency': ['4,362', '5,525', '12,036', '5,351', '11,976', '8,783', '9,501', '4,282', '3,207', '13,255', '8,227', '7,832', '6,895', '5,279', '10,993', '8,876', '9,884', '5,388', '12,255', '17,255', '9,528', '9,978', '16,170', '4,069', '7,219', '7,143', '12,886', '2,650', '6,960', '9,328', '3,220', '17,349', '4,088', '5,745', '13,384', '6,727', '6,234', '5,781', '10,038', '5,886', '5,645', '10,059', '11,154', '7,636', '6,981', '26,444', '4,339', '12,819', '4,484', '1,559', '4,594', '2,064'], 'Percentage': ['1.01', '1.28', '2.78', '1.23', '2.76', '2.03', '2.19', '0.99', '0.74', '3.06', '1.90', '1.81', '1.59', '1.22', '2.54', '2.05', '2.28', '1.24', '2.83', '3.98', '2.20', '2.30', '3.73', '0.94', '1.67', '1.65', '2.97', '0.61', '1.61', '2.15', '0.74', '4.00', '0.94', '1.33', '3.09', '1.55', '1.44', '1.33', '2.32', '1.36', '1.30', '2.32', '2.57', '1.76', '1.61', '6.10', '1.00', '2.96', '1.03', '0.36', '1.06', '0.48'], 'Weighted Percentage': ['1.58', '0.22', '2.31', '0.94', '12.18', '1.85', '1.16', '0.33', '0.22', '7.29', '3.40', '0.46', '0.59', '3.90', '2.09', '0.98', '0.89', '1.40', '0.45', '1.92', '2.25', '3.14', '1.76', '0.90', '1.91', '0.36', '0.59', '1.00', '0.46', '2.91', '0.66', '6.22', '3.38', '0.24', '3.65', '1.23', '1.35', '0.35', '1.68', '0.28', '2.21', '9.21', '0.98', '0.21', '2.73', '2.45', '0.56', '1.84', '0.18', '0.04', '1.06', '0.03']}"
File Month,Record Identification,0,8,17-18,Num,FMONTH,,File Month,"{'Value': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12'], 'Value Label': ['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December'], 'Frequency': ['38,080', '38,103', '34,668', '28,292', '33,607', '35,525', '37,096', '32,866', '35,318', '42,619', '39,833', '37,316'], 'Percentage': ['8.79', '8.79', '8.00', '6.53', '7.76', '8.20', '8.56', '7.58', '8.15', '9.84', '9.19', '8.61'], 'Weighted Percentage': ['9.12', '9.47', '8.47', '7.32', '8.03', '8.26', '8.58', '7.79', '7.84', '9.05', '8.34', '7.72']}"
Interview Date,Record Identification,0,9,19-26,Char,IDATE,,Interview Date,"{'Value': ['HIDDEN'], 'Value Label': ['Data not displayedNotes: Due to the nature of the data or the size of the table for display, this information is not printed for this report'], 'Frequency': ['433,323'], 'Percentage': ['100.00'], 'Weighted Percentage': ['100.00']}"
Interview Month,Record Identification,0,10,19-20,Char,IMONTH,,Interview Month,"{'Value': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12'], 'Value Label': ['January', 'February', 'March', 'April', 'May', 'June', 'July', 'August', 'September', 'October', 'November', 'December'], 'Frequency': ['27,706', '35,651', '41,255', '34,876', '34,462', '36,562', '35,035', '38,098', '34,723', '37,249', '38,582', '39,124'], 'Percentage': ['6.39', '8.23', '9.52', '8.05', '7.95', '8.44', '8.09', '8.79', '8.01', '8.60', '8.90', '9.03'], 'Weighted Percentage': ['6.12', '9.88', '10.38', '8.53', '8.42', '8.70', '8.54', '8.65', '7.46', '7.90', '8.25', '7.16']}"
Interview Day,Record Identification,0,11,21-22,Char,IDAY,,Interview Day,"{'Value': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31'], 'Value Label': ['Interview Day', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', ''], 'Frequency': ['13,855', '14,256', '13,746', '12,160', '14,537', '15,763', '15,758', '15,583', '14,324', '14,873', '15,261', '14,966', '15,719', '15,222', '15,059', '14,445', '14,094', '14,062', '13,910', '15,385', '15,351', '14,034', '12,319', '12,277', '12,185', '13,353', '14,883', '14,632', '11,019', '12,024', '8,268'], 'Percentage': ['3.20', '3.29', '3.17', '2.81', '3.35', '3.64', '3.64', '3.60', '3.31', '3.43', '3.52', '3.45', '3.63', '3.51', '3.48', '3.33', '3.25', '3.25', '3.21', '3.55', '3.54', '3.24', '2.84', '2.83', '2.81', '3.08', '3.43', '3.38', '2.54', '2.77', '1.91'], 'Weighted Percentage': ['3.20', '3.19', '3.29', '2.81', '3.24', '3.84', '3.68', '3.71', '3.34', '3.39', '3.27', '3.31', '3.45', '3.42', '3.38', '3.42', '3.32', '3.16', '3.11', '3.55', '3.62', '3.39', '2.99', '2.95', '2.93', '3.04', '3.42', '3.35', '2.47', '2.76', '2.01']}"
Interview Year,Record Identification,0,12,23-26,Char,IYEAR,,Interview Year,"{'Value': ['2023', '2024'], 'Value Label': ['', ''], 'Frequency': ['408,012', '25,311'], 'Percentage': ['94.16', '5.84'], 'Weighted Percentage': ['93.49', '6.51']}"
Final Disposition,Record Identification,0,14,32-35,Num,DISPCODE,,Final Disposition,"{'Value': ['1100', '1200'], 'Value Label': ['Completed Interview', 'Partial Complete Interview'], 'Frequency': ['356,261', '77,062'], 'Percentage': ['82.22', '17.78'], 'Weighted Percentage': ['74.54', '25.46']}"
Annual Sequence Number,Record Identification,0,15,36-45,Char,SEQNO,,Annual Sequence Number,"{'Value': ['HIDDEN'], 'Value Label': ['Data not displayed'], 'Frequency': ['433,323'], 'Percentage': ['100.00'], 'Weighted Percentage': ['100.00']}"
Primary Sampling Unit,Record Identification,0,16,36-45,Num,_PSU,,Primary Sampling Unit (Equal to Annual Sequence Number),"{'Value': ['HIDDEN'], 'Value Label': ['Data not displayedNotes: Value should be unique for a state for a year. Due to the nature of the data or the size of the table for display, this information is not printed for this report'], 'Frequency': ['433,323'], 'Percentage': ['100.00'], 'Weighted Percentage': ['100.00']}"
Correct telephone number?,Land Line Introduction,0,1,63,Num,CTELENM1,Variable only on the land line survey,Is this     (phone number)     ?,"{'Value': ['1', 'BLANK'], 'Value Label': ['Yes -  Go to LL.02, PVTRESD1', 'MissingNotes: QSTVER > = 20'], 'Frequency': ['88,345', '344,978'], 'Percentage': ['100.00', '.'], 'Weighted Percentage': ['100.00', '.']}"
